generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774816338-fGi9oNybIBLsYOor3TCz,2026-03-29 20:32:18.744,0.002581,,-0.010852,,0,26010,143,0,24116,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1892,1054,OpenClaw,OPenClaw
gen-1774816336-a0ADueIWCSkN1s0YvrOj,2026-03-29 20:32:16.266,0.002225,,-0.010852,,0,25875,47,0,24117,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,1019,999,OpenClaw,OPenClaw
gen-1774816330-exgs7jExJxFLddCKrnTl,2026-03-29 20:32:10.202,0.007753,,-0.007708,,0,24833,1015,0,17129,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,5886,5854,OpenClaw,OPenClaw
gen-1774816326-leS5XsS7tWgWeMkTaOJe,2026-03-29 20:32:06.897,0.004232,,-0.009216,,0,24084,469,0,20481,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,3078,3055,OpenClaw,OPenClaw
gen-1774816325-9tgDp5M5ktKHS73XGBXi,2026-03-29 20:32:05.005,0.002077,,-0.009028,,0,21301,152,0,20064,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,1634,1623,OpenClaw,OPenClaw
gen-1774816323-I5VpeANHssmE3M49Mc5a,2026-03-29 20:32:03.685,0.002696,,-0.007435,,0,19899,61,0,16524,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,1113,1097,OpenClaw,OPenClaw
gen-1774816322-Fcqw7NbILc9aON6mPjt2,2026-03-29 20:32:02.244,0.002127,,-0.007367,,0,18882,18,0,16372,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,1251,1231,OpenClaw,OPenClaw
gen-1774816318-gUK4DoaG612SuagY7zAB,2026-03-29 20:31:58.127,0.010622,,,,0,17645,600,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,3568,3551,OpenClaw,OPenClaw
gen-1774816316-aONXPAMDd6XVibBcPuSk,2026-03-29 20:31:56.349,0.008206,,,,0,16274,23,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,1352,1258,OpenClaw,OPenClaw
gen-1774816214-kisVNOGdjl615fXkbgxX,2026-03-29 20:30:14.088,0.004177,,-0.007632,,0,21842,296,0,16960,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2866,1049,OpenClaw,OPenClaw
gen-1774816212-f4fzc0IdSKp6GOH1u5E8,2026-03-29 20:30:12.797,0.001686,,-0.007358,,0,17856,39,0,16352,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,1054,1027,OpenClaw,OPenClaw
gen-1774816211-KKRTfWksOLYNspR4dlxs,2026-03-29 20:30:11.328,0.001784,,-0.007356,,0,17713,95,0,16348,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,1292,1272,OpenClaw,OPenClaw
gen-1774816209-QbtlXLkHNbMS1NZa3ixx,2026-03-29 20:30:09.561,0.001656,,-0.007362,,0,17607,72,0,16362,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,1341,1318,OpenClaw,OPenClaw
gen-1774816208-VPDMyT1Qxb8m36iGUyz7,2026-03-29 20:30:08.163,0.001462,,-0.007348,,0,17333,48,0,16329,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,1214,1184,OpenClaw,OPenClaw
gen-1774816206-pTCalE255PQchpVcUGaG,2026-03-29 20:30:06.809,0.001256,,-0.007342,,0,16953,41,0,16317,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,1165,1138,OpenClaw,OPenClaw
gen-1774816205-iqB8RpUt54CYXLUhjsQQ,2026-03-29 20:30:05.388,0.008548,,,,0,16785,52,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,1235,1210,OpenClaw,OPenClaw
gen-1774816203-7ThK4ULJe7bEbPlcslOL,2026-03-29 20:30:03.803,0.005464,,-0.00293,,0,16574,36,0,6512,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,tool_calls,1184,1169,OpenClaw,OPenClaw
gen-1774814403-MDZCvHDp8Ys6Qt3l9K8G,2026-03-29 20:00:03.963,0.008856,,,,0,17689,4,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2834,2820,OpenClaw,OPenClaw
